State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2004,Kharif     ,Rice,9718.0,27033.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2004,Whole Year ,Cashewnut,81.0,33.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2004,Whole Year ,Coconut ,7015.0,25250000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2004,Whole Year ,Dry ginger,344.0,1124.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2004,Whole Year ,Sugarcane,81.0,2379.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2004,Whole Year ,Sweet potato,100.0,5.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Kharif     ,Rice,6854.3,18995.62
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Arecanut,1160.0,3011.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Banana,957.57,8582.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Black pepper,175.0,191.14
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Cashewnut,40.5,44.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Coconut ,3575.0,15400000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Dry chillies,235.72,824.3
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Dry ginger,98.66,929.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,other oilseeds,35.62,21.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Sugarcane,71.3,1500.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Sweet potato,30.0,240.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Tapioca,255.0,1420.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2009,Whole Year ,Turmeric,68.0,408.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Autumn     ,Rice,6791.0,20118.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Autumn     ,Sugarcane,73.33,889.2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Arecanut,1296.0,2290.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Arhar/Tur,294.5,90.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Black pepper,168.0,13.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Cashewnut,84.5,39.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Dry chillies,254.0,402.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Dry ginger,110.0,1011.84
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Groundnut,4.75,6.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Maize,86.7,96.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Moong(Green Gram),1168.6,556.55
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Sunflower,2.9,1.9
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Sweet potato,109.0,480.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Turmeric,68.0,376.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Rabi       ,Urad,1059.5,458.79
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Whole Year ,Banana,657.0,7968.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Whole Year ,Coconut ,3668.0,12700000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2013,Whole Year ,Tapioca,186.5,1355.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,10695.8,31600.82
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Arecanut,3105.0,5267.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Banana,1524.0,10882.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Black pepper,487.0,102.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Cashewnut,81.0,24.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Coconut ,7060.0,26830000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry chillies,239.0,20.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry ginger,352.0,1145.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,other oilseeds,85.1,40.31
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sugarcane,455.0,13760.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,10509.37,30760.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Arecanut,3118.0,5182.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,1530.0,11558.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,497.0,104.37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Cashewnut,116.5,26.14
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,7110.0,26660000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry chillies,340.0,578.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry ginger,406.0,1299.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,other oilseeds,82.09,35.51
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,268.0,2879.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Kharif     ,Rice,10681.98,29119.66
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,Arecanut,3160.67,3975.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,Banana,1912.1,17374.4
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,Black pepper,570.0,104.36
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,Cashewnut,116.5,25.1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,Coconut ,7156.7,34750000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,Dry chillies,340.0,822.8
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,Dry ginger,410.0,1462.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,other oilseeds,89.3,46.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2007,Whole Year ,Sugarcane,145.26,1560.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Kharif     ,Rice,8683.38,25870.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Arecanut,3250.78,3058.46
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Banana,1656.8,10251.13
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Black pepper,656.45,35.95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Cashewnut,118.5,30.22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Coconut ,7050.45,26430000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Dry chillies,370.7,877.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Dry ginger,200.0,1800.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,other oilseeds,53.55,34.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Sugarcane,128.02,2448.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Sweet potato,131.9,700.35
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Tapioca,254.5,1480.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2008,Whole Year ,Turmeric,81.7,572.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Kharif     ,Rice,921.87,2539.64
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Arecanut,2000.0,2350.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Banana,483.0,4150.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Black pepper,413.1,20.18
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Cashewnut,79.5,26.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Coconut ,3483.09,14190000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Dry chillies,124.6,34.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Dry ginger,100.9,900.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,other oilseeds,24.0,14.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Sugarcane,53.5,999.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Sweet potato,30.4,220.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Tapioca,40.0,160.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2009,Whole Year ,Turmeric,10.0,60.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Autumn     ,Rice,1595.5,3788.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Autumn     ,Sugarcane,67.5,402.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Arecanut,1912.0,1900.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Arhar/Tur,20.5,13.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Black pepper,409.0,98.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Cashewnut,15.0,10.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Dry chillies,128.0,148.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Dry ginger,94.0,828.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Groundnut,15.5,7.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Maize,73.0,253.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Moong(Green Gram),29.9,17.85
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Sunflower,1.0,0.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Sweet potato,32.0,235.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Turmeric,10.0,105.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Rabi       ,Urad,34.0,15.05
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Whole Year ,Banana,360.0,5517.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Whole Year ,Coconut ,3540.0,11000000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2013,Whole Year ,Tapioca,22.5,220.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Arhar/Tur,21400.0,2600.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Bajra,1400.0,500.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Castor seed,1000.0,100.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Cotton(lint),7300.0,9400.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Dry chillies,3700.0,7100.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Groundnut,650800.0,228400.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Horse-gram,3300.0,1000.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Jowar,10100.0,10200.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Korra,2200.0,700.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Maize,2800.0,4900.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Moong(Green Gram),1300.0,500.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Other Kharif pulses,800.0,100.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Ragi,6700.0,11800.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Rice,35600.0,75400.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Sugarcane,700.0,72900.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Sunflower,35900.0,11100.0
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Tobacco,200.0,200.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Dry chillies,100.0,100.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Gram,28000.0,14800.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Groundnut,20200.0,21700.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Horse-gram,600.0,200.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Jowar,18800.0,9400.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Korra,100.0,100.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Maize,600.0,2400.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Ragi,600.0,1000.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Rice,18000.0,37300.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Sunflower,30100.0,11100.0
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Wheat,300.0,200.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Arhar/Tur,27400.0,9100.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Bajra,2600.0,1900.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Castor seed,3200.0,1000.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Cotton(lint),14000.0,12900.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Dry chillies,4000.0,10000.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Groundnut,755200.0,867800.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Horse-gram,2300.0,900.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Jowar,3700.0,5800.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Korra,4600.0,3400.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Maize,3300.0,6700.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Moong(Green Gram),2100.0,1300.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Other Kharif pulses,2000.0,300.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Ragi,7000.0,14900.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Rice,38300.0,96800.0
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Sunflower,21300.0,12200.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Dry chillies,200.0,200.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Gram,26200.0,25900.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Groundnut,25900.0,35800.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Horse-gram,700.0,500.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Jowar,14800.0,22100.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Maize,300.0,1600.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Ragi,700.0,1200.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Rice,26600.0,63900.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Sunflower,13500.0,3300.0
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Wheat,400.0,200.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Sugarcane,700.0,65900.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Tobacco,100.0,100.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Bajra,1635.0,889.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Castor seed,1880.0,355.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Cotton(lint),9453.0,10510.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Groundnut,694865.0,249457.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Horse-gram,1762.0,495.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Jowar,11131.0,14582.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Maize,3358.0,9540.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Masoor,23117.0,3861.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Moong(Green Gram),1546.0,1098.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Ragi,6215.0,11467.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Rice,37991.0,105082.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Sesamum,8.0,2.0
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Urad,4.0,2.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Bajra,99.0,54.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Gram,26835.0,9365.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Groundnut,21785.0,25358.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Horse-gram,1071.0,327.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Jowar,21487.0,30576.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Linseed,12.0,1.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Maize,455.0,2203.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Masoor,98.0,10.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Moong(Green Gram),1.0,1.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Ragi,734.0,1180.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Rice,20258.0,45669.0
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Safflower,881.0,145.0
